https://adamlink.nl/geo/street/sgravenlandseveer/3925,"‘s-Gravelandse Veer","Rb. 2-9-1913",1913
https://adamlink.nl/geo/street/aagtdorperpad/5,Aagtdorperpad,"Rb. Stadsdeel Amsterdam-Noord 1-7-1987",1987
https://adamlink.nl/geo/street/aakstraat/7,Aakstraat,"Rb. 3-2-1965",1965
https://adamlink.nl/geo/street/aalbersestraat/8,Aalbersestraat,"Rb. 11-12-1953",1953
https://adamlink.nl/geo/street/aalsmeerplein/9,Aalsmeerplein,"Rb. 19-7-1933",1933
https://adamlink.nl/geo/street/aalsmeerweg/10,Aalsmeerweg,"Rb. 16-2-1927",1927
https://adamlink.nl/geo/street/cjk-van-aalststraat/764,"C.J.K. van Aalststraat","Rb. 27-11-1996",1996
https://adamlink.nl/geo/street/aambeeldstraat/11,Aambeeldstraat,"Rb. 14-7-1948",1948
https://adamlink.nl/geo/street/aandewind/12,Aandewind,"Rb. Stadsdeel Amsterdam-Noord 11-10-1989",1989
https://adamlink.nl/geo/street/aardbeistraat/13,Aardbeistraat,"Rb. 26-1-1951",1951
https://adamlink.nl/geo/street/cornelis-aarnoutsstraat/810,"Cornelis Aarnoutsstraat","Rb. 17-10-1984",1984
https://adamlink.nl/geo/street/aarschotpad/15,Aarschotpad,"Rb. 20-2-1991",1991
https://adamlink.nl/geo/street/abbenesstraat/18,Abbenesstraat,"Rb. 16-5-1934",1934
https://adamlink.nl/geo/street/abberdaan/19,Abberdaan,"Rb. 21-6-1972",1972
https://adamlink.nl/geo/street/van-abbestraat/4627,"Van Abbestraat","Rb. stadsdeelSlotervaart 25-10-1995",1995
https://adamlink.nl/geo/street/abcouderpad/21,Abcouderpad,"Rb. 11-3-1981",1981
https://adamlink.nl/geo/street/abcouderstraatweg/22,Abcouderstraatweg,"Rb. 25-8-1982",1982
https://adamlink.nl/geo/street/jan-abelszstraat/2039,"Jan Abelszstraat","Rb. 2-11-1955",1955
https://adamlink.nl/geo/street/abidjanweg/6362,Abidjanweg,"Rb. 10-4-2002",2002
https://adamlink.nl/geo/street/wethouder-abrahamspad/4980,"Wethouder Abrahamspad","Rb. 8-2-1984",1984
https://adamlink.nl/geo/street/abrikozenstraat/31,Abrikozenstraat,"Rb. 26-1-1951",1951
https://adamlink.nl/geo/street/abtswoudepad/6364,Abtswoudepad,"Rb. 1-4-1959, 4-10-1967",1959
https://adamlink.nl/geo/street/accason/5288,Accason,"Rb. 7-2-2001",2001
https://adamlink.nl/geo/street/accraweg/32,Accraweg,"Rb. 24-1-2001",2001
https://adamlink.nl/geo/street/accumulatorweg/33,Accumulatorweg,"Rb. 23-11-1977",1977
https://adamlink.nl/geo/street/achillesstraat/34,Achillesstraat,"Rb. 22-3-1922, 19-12-1929",1922
https://adamlink.nl/geo/street/achterdek/36,Achterdek,"Rb. 25-6-1975",1975
https://adamlink.nl/geo/street/achtergouwtje-zunderdorp/37,Achtergouwtje,"Rb. 10-7-1957",1957
https://adamlink.nl/geo/street/achterlaan-zunderdorp/39,Achterlaan,"Rb. 10-7-1957",1957
https://adamlink.nl/geo/street/achtersteven/40,Achtersteven,"Rb. 25-6-1975",1975
https://adamlink.nl/geo/street/adama-van-scheltemaplein/45,"Adama van Scheltemaplein","Rb. 27-4-1933",1933
https://adamlink.nl/geo/street/adamello/46,Adamello,"Rb. Stadsdeel Osdorp 20-10-1993",1993
https://adamlink.nl/geo/street/arie-addickspad/222,"Arie Addickspad","Rb. 24-6-1953",1953
https://adamlink.nl/geo/street/mc-addicksstraat/2915,"M.C. Addicksstraat","Rb. 9-7-1952",1952
https://adamlink.nl/geo/street/adelaarsweg/47,Adelaarsweg,"Rb. 10-1-1923 - Rb. Stadsdeel Amsterdam-Noord 15-3-1983",1923
